symbol,variant,strategy,month,trades,pnl,wins,losses
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2025-01,9,59.4295482449633,4,5
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2025-02,7,93.72210748695773,4,3
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2025-03,4,-24.959302964612426,1,3
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2025-04,7,-75.48394433007302,2,5
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2025-05,9,-1.1602773735248917,3,6
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2025-06,8,-23.81991331419397,4,4
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2025-07,10,150.3737840824386,7,3
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2025-08,10,90.81448197599006,6,4
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2025-09,4,-36.22585629408184,1,3
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2025-10,5,77.72807350990375,3,2
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2025-11,5,-18.551173055237392,1,4
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2025-12,4,105.5733326654935,3,1
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2026-01,4,35.393790204399565,2,2
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2026-02,5,-13.068272237345859,2,3
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2026-03,7,249.92149572312587,7,0
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2026-04,4,-75.94178639440621,1,3
XAUUSDm,candidate_thai_19_21_rr1.8_body2_wick0.4_atrMin40,momentum,2026-05,1,6.909488113928996,1,0
